Condition	Info	Frequency	Block	Timing File	TaskObject#1	TaskObject#2	TaskObject#3	TaskObject#4	TaskObject#5
1	't_info', 'Same' 	2 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	
2	't_info', 'T1 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	
3	't_info', 'T2 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	
4	't_info', 'Same' 	2 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	
5	't_info', 'T1 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	
6	't_info', 'T2 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	
7	't_info', 'Same' 	2 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	
8	't_info', 'T1 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	
9	't_info', 'T2 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	
10	't_info', 'Same' 	2 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	
